"Juge"	"Age"	"Sexe"	"CSP"	"Son"	"Rang"	"Innovation"	"Originalite"	"Sobriete"	"Proximite"	"Ludique"	"Haut.de.Gamme"	"Simplicite"	"Liberte"	"Humanite"	"Technologie"	"Convivialite"	"Complexite"	"Populaire"	"Serieux"	"International"	"Passion"	"Artisanal"	"Traditionnel"	"Performance"	"Joyeux"	"Surprenant"	"Excitant"	"Energique"	"Sensuel"	"Triste"	"Chaleureux"	"Serieux"	"Note"	"Pourquoi"	"Tempo"	"Hauteur"	"Instrument"
"40"	4	22	"F"	"Etudiant"	"V_120_1"	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	"Vraiment_pas_assez"	"Trop"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Trop"	"Vraiment_pas_assez"	"Trop"	0	NA	120	1	"Violon"
"41"	4	22	"F"	"Etudiant"	"P_120_3"	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	"JAR"	"JAR"	"Pas_assez"	"Pas_assez"	"JAR"	"Trop"	"JAR"	"JAR"	4	NA	120	3	"Piano"
"42"	4	22	"F"	"Etudiant"	"V_160_3"	6	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	"JAR"	"JAR"	"JAR"	"JAR"	"Pas_assez"	"JAR"	"JAR"	"Pas_assez"	6	NA	160	3	"Violon"
"43"	4	22	"F"	"Etudiant"	"P_120_1"	7	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	"JAR"	"JAR"	"JAR"	"JAR"	"JAR"	"JAR"	"JAR"	"JAR"	7	NA	120	1	"Piano"
"44"	4	22	"F"	"Etudiant"	"V_120_5"	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	"Pas_assez"	"Vraiment_trop"	"Pas_assez"	"Trop"	"Pas_assez"	"JAR"	"Pas_assez"	"Vraiment_pas_assez"	3	NA	120	5	"Violon"
"45"	4	22	"F"	"Etudiant"	"A_160_3"	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	"Trop"	"Trop"	"JAR"	"Vraiment_trop"	"Pas_assez"	"Pas_assez"	"Trop"	"Vraiment_pas_assez"	2	NA	160	3	"Accordéon"
"46"	4	22	"F"	"Etudiant"	"V_80_3"	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"Vraiment_pas_assez"	"Trop"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Pas_assez"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Pas_assez"	0	NA	80	3	"Violon"
"47"	4	22	"F"	"Etudiant"	"A_160_5"	11	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"JAR"	"Trop"	"Pas_assez"	"JAR"	"Pas_assez"	"JAR"	"Pas_assez"	"JAR"	4	NA	160	5	"Accordéon"
"48"	4	22	"F"	"Etudiant"	"V_160_5"	12	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	"Trop"	"Trop"	"JAR"	"JAR"	"Pas_assez"	"JAR"	"JAR"	"Pas_assez"	4	NA	160	5	"Violon"
"49"	5	23	"F"	"Etudiant"	"V_120_5"	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	"JAR"	"JAR"	"Pas_assez"	"JAR"	"JAR"	"JAR"	"Pas_assez"	"Pas_assez"	2	"trop léger, pas assez serieux"	120	5	"Violon"
"50"	5	23	"F"	"Etudiant"	"V_120_1"	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	"JAR"	"JAR"	"JAR"	"JAR"	"JAR"	"JAR"	"JAR"	"JAR"	9	"dynamique, avec des graves et de la profondeur"	120	1	"Violon"
"51"	5	23	"F"	"Etudiant"	"V_160_3"	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Trop"	"Trop"	"Trop"	"Trop"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"Pas_assez"	2	"trop rapide, pas assez serieux, pas assez haut de gamme"	160	3	"Violon"
"52"	5	23	"F"	"Etudiant"	"V_80_1"	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	"JAR"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"JAR"	"JAR"	"JAR"	"Trop"	6	"pas assez dynamique, pas assez innovant"	80	1	"Violon"
"53"	5	23	"F"	"Etudiant"	"V_80_3"	5	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	"JAR"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"JAR"	"Trop"	"Pas_assez"	"JAR"	3	"logo triste, peu dynamique"	80	3	"Violon"
"54"	5	23	"F"	"Etudiant"	"A_80_5"	6	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	"JAR"	"JAR"	"Pas_assez"	"Pas_assez"	"Vraiment_pas_assez"	"JAR"	"Vraiment_pas_assez"	"JAR"	4	"pas assez dynamique"	80	5	"Accordéon"
"55"	5	23	"F"	"Etudiant"	"V_160_1"	7	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	"JAR"	"JAR"	"Trop"	"Trop"	"JAR"	"JAR"	"JAR"	"Pas_assez"	7	"trop rapide, baclé sur la fin"	160	1	"Violon"
"56"	5	23	"F"	"Etudiant"	"P_120_1"	8	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	"JAR"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"JAR"	"JAR"	"JAR"	"Pas_assez"	6	"trop de mollesse, pas très expert"	120	1	"Piano"
"57"	5	23	"F"	"Etudiant"	"P_80_1"	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Pas_assez"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"JAR"	"JAR"	"JAR"	"Pas_assez"	4	"trop mou, pas innovant"	80	1	"Piano"
"58"	5	23	"F"	"Etudiant"	"P_120_3"	10	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	"JAR"	"JAR"	"JAR"	"JAR"	"JAR"	"Trop"	"JAR"	"JAR"	7	"pas assez dynamique"	120	3	"Piano"
"59"	5	23	"F"	"Etudiant"	"P_160_3"	11	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	"JAR"	"Trop"	"JAR"	"JAR"	"Pas_assez"	"JAR"	"Pas_assez"	"Pas_assez"	5	"les notes sont décalées, trop surprenant"	160	3	"Piano"
"60"	5	23	"F"	"Etudiant"	"A_120_5"	12	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1	"JAR"	"JAR"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"JAR"	"Pas_assez"	"Pas_assez"	3	"pas assez de profondeur, pas assez de serieux"	120	5	"Accordéon"
"61"	6	56	"F"	"Employé"	"P_120_1"	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	"Pas_assez"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Pas_assez"	"Vraiment_pas_assez"	"JAR"	"JAR"	"JAR"	4	"pas assez innovant"	120	1	"Piano"
"62"	6	56	"F"	"Employé"	"V_160_1"	2	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	"JAR"	"JAR"	"Pas_assez"	"JAR"	"Pas_assez"	"JAR"	"Pas_assez"	"JAR"	6	"assez innovant"	160	1	"Violon"
"63"	6	56	"F"	"Employé"	"A_80_3"	3	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	"JAR"	"JAR"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"JAR"	"Pas_assez"	"Trop"	5	"trop traditionnel"	80	3	"Accordéon"
"64"	6	56	"F"	"Employé"	"P_160_5"	4	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	"JAR"	"Trop"	"Pas_assez"	"Vraiment_pas_assez"	"Pas_assez"	"JAR"	"Pas_assez"	"Vraiment_pas_assez"	3	"pas assez énergique, pas assez sérieux"	160	5	"Piano"
"65"	6	56	"F"	"Employé"	"V_120_5"	5	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	"Pas_assez"	"JAR"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Pas_assez"	"Pas_assez"	"Pas_assez"	2	"pas assez énergique"	120	5	"Violon"
"66"	6	56	"F"	"Employé"	"P_80_5"	6	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	"Pas_assez"	"Pas_assez"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	"Vraiment_pas_assez"	1	"trop simpliste"	80	5	"Piano"
"67"	6	56	"F"	"Employé"	"P_80_3"	7	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	"JAR"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"JAR"	"JAR"	"JAR"	4	"restitue le serieux de l'entreprise"	80	3	"Piano"
"68"	6	56	"F"	"Employé"	"A_120_5"	8	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	"Trop"	"JAR"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"JAR"	"Pas_assez"	"Pas_assez"	3	"pas assez serieux"	120	5	"Accordéon"
"69"	6	56	"F"	"Employé"	"V_80_1"	9	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	"Pas_assez"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"JAR"	"JAR"	"JAR"	"JAR"	4	"trop grave"	80	1	"Violon"
"70"	6	56	"F"	"Employé"	"A_160_3"	10	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"JAR"	"Pas_assez"	"Pas_assez"	"JAR"	"JAR"	"JAR"	"JAR"	"JAR"	5	"serieux, chaleureux, pas assez innovant"	160	3	"Accordéon"
"71"	6	56	"F"	"Employé"	"V_160_5"	11	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	"JAR"	"Trop"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"Pas_assez"	3	"pas assez serieux, trop léger"	160	5	"Violon"
"72"	6	56	"F"	"Employé"	"A_120_1"	12	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	"Pas_assez"	"JAR"	"Pas_assez"	"Pas_assez"	"Vraiment_pas_assez"	"Trop"	"Pas_assez"	"Trop"	3	"trop solennel, trop triste"	120	1	"Accordéon"
"73"	7	19	"F"	"Etudiant"	"A_80_5"	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	"Pas_assez"	"JAR"	"Pas_assez"	"Vraiment_pas_assez"	"Pas_assez"	"Trop"	"Pas_assez"	"JAR"	3	"trop aigu"	80	5	"Accordéon"
"74"	7	19	"F"	"Etudiant"	"V_160_3"	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	"JAR"	"JAR"	"JAR"	"Trop"	"Pas_assez"	"JAR"	"Pas_assez"	"JAR"	6	"assez sec, assez bref"	160	3	"Violon"
"75"	7	19	"F"	"Etudiant"	"A_120_3"	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	"Pas_assez"	"JAR"	"Pas_assez"	"Pas_assez"	"Vraiment_pas_assez"	"JAR"	"Pas_assez"	"JAR"	2	"manque de proximité"	120	3	"Accordéon"
"76"	7	19	"F"	"Etudiant"	"P_120_3"	4	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	"JAR"	"Pas_assez"	"Pas_assez"	"JAR"	"JAR"	"JAR"	"Pas_assez"	"JAR"	7	"colle bien avec technologie et innovation"	120	3	"Piano"
"77"	7	19	"F"	"Etudiant"	"P_160_1"	5	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	"Pas_assez"	"JAR"	"Pas_assez"	"JAR"	"Vraiment_pas_assez"	"JAR"	"Vraiment_pas_assez"	"Trop"	4	"sévère,bref"	160	1	"Piano"
"78"	7	19	"F"	"Etudiant"	"A_80_3"	6	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	"Pas_assez"	"JAR"	"Pas_assez"	"Pas_assez"	"Pas_assez"	"JAR"	"Pas_assez"	"JAR"	2	"pas assez dynamique"	80	3	"Accordéon"
"79"	7	19	"F"	"Etudiant"	"P_80_1"	7	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	"Pas_assez"	"JAR"	"JAR"	"Pas_assez"	"JAR"	"JAR"	"Pas_assez"	"JAR"	8	"sérieux, haut de gamme et technologie"	80	1	"Piano"
"80"	7	19	"F"	"Etudiant"	"P_160_5"	8	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	"Pas_assez"	"JAR"	"JAR"	"Trop"	"JAR"	"JAR"	"JAR"	"Pas_assez"	7	NA	160	5	"Piano"
